year,FIPS,WaterSupply.Surface.Fresh,WaterSupply.Surface.Saline,WaterSupply.Surface.Total,WaterSupply.Ground.Fresh,WaterSupply.Ground.Saline,WaterSupply.Ground.Total,WaterSupply.Total.Abstraction,WaterSupply.Total.TotalUse,WaterSupply.OtherUnits,Household.Surface.Fresh,Household.Surface.Saline,Household.Ground.Fresh,Household.Ground.Saline,Household.Total.Abstraction,Household.OtherUnts,Household.TotalUse,Irrigation.Crop.Total.Abstraction,Irrigation.Crop.TotalUse,Irrigation.Golf.Total.Abstraction,Irrigation.Golf.TotalUse,Animal.Total.Abstraction,Animal.TotalUse,Aquaculture.Total.Abstraction,Aquaculture.TotalUse,Manufacturing.Total.Abstraction,Manufacturing.TotalUse,Mining.Total.Abstraction,Mining.TotalUse,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP
2000,37121,1.27,0,1.27,0.11,0,0.11,1.3800000000000001,1.3800000000000001,0,0,0,0.76,0,0.76,-0.76,0,0.06,0.06,0.12,0.12,0.03,0.03,0,0,0.34,0.34,1.3,1.3,15040,8812,6361,2052,280,23907,1721,3609,2768,3041,348,1143,126,119,1552,50,368,343,1887,13585
2000,37123,2.77,0,2.77,0.09,0,0.09,2.86,2.86,0,0,0,0.65,0,0.65,-0.65,0,0.5,0.5,0.52,0.52,2.16,2.16,0,0,0,0,0.37,0.37,27338,16235,10411,5178,527,22760,3933,5257,6225,3906,929,10042,1037,75,3737,452,620,1167,3552,25452
2000,37125,3.88,0,3.88,3.09,0,3.09,6.97,6.97,0,0,0,2.24,0,2.24,-2.24,0,2.32,2.32,6.609999999999999,6.609999999999999,3.6100000000000003,3.6100000000000003,0,0,0,0,0.05,0.05,95629,46638,38965,11863,2244,33432,6633,22698,20362,14487,2382,21808,1230,1639,6965,627,1712,1413,8670,92042
2000,37127,14.9,0,14.9,0.81,0,0.81,15.71,15.71,0,0,0,1.36,0,1.36,-1.36,0,12.17,12.17,0.87,0.87,1.31,1.31,0,0,0,0,0.09,0.09,94003,42876,36720,14269,2892,26980,9439,16294,21019,15142,4022,46647,1206,1110,8242,1005,2907,2077,9402,91606
2000,37129,0,0,0,7.72,0,7.72,7.72,7.72,0,0,0,3.58,0,3.58,-3.58,0,0.2,0.2,1.84,1.84,0,0,0,0,5.24,5.24,0.19,0.19,224231,109244,93636,37602,7148,32629,10768,37427,42393,28069,7586,51376,2684,16258,4472,1268,5986,7164,22625,229706
2000,37131,0,0,0,1.26,0,1.26,1.26,1.26,0,0,0,0.64,0,0.64,-0.64,0,0.9299999999999999,0.9299999999999999,0.16,0.16,1.24,1.24,0,0,0,0,0.11,0.11,20186,11670,8628,4216,541,20538,3088,4901,3627,4045,955,12381,113,67,2621,65,938,835,2887,17802
2000,37133,0,0,0,17.32,0,17.32,17.32,17.32,0,0,0,3.14,0,3.14,-3.14,0,0.64,0.64,0.79,0.79,1.23,1.23,0,0,0,0,0.15000000000000002,0.15000000000000002,193912,78501,64065,23880,6709,23783,9045,16797,47355,27298,6697,65094,1229,5532,11375,1121,3039,20066,13398,164336
2000,37135,12.44,0,12.44,0.52,0,0.52,12.959999999999999,12.959999999999999,0,0,0,1.94,0,1.94,-1.94,0,0.8099999999999999,0.8099999999999999,0.6900000000000001,0.6900000000000001,0.3,0.3,0,0,0,0,0.07,0.07,142938,57502,52529,17633,3353,40650,6478,18364,28526,12546,3703,43814,4075,8683,4799,1100,2644,11304,10248,134912
2000,37137,0,0,0,1.03,0,1.03,1.03,1.03,0,0,0,0.28,0,0.28,-0.28,0,0.13,0.13,0.16,0.16,0.01,0.01,0,0,0,0,0,0,12742,7721,5352,1696,414,27026,1192,3583,1971,2577,245,3284,158,56,1970,140,374,720,1484,11339
2000,37139,0,0,0,5.22,0,5.22,5.22,5.22,0,0,0,0.57,0,0.57,-0.57,0,1.06,1.06,0.24,0.24,0.01,0.01,0,0,0,0,0,0,39479,17108,14780,5981,1187,23699,3625,6367,8775,5718,1419,17831,314,754,2089,163,1419,2393,5075,40133
